1,V,1,1,11,München,"2014-08-22 20:30:00",-1,-1,-1,-1,-1
2,V,1,16,15,Hoffenheim,"2014-08-23 15:30:00",-1,-1,-1,-1,-1
3,V,1,9,4,Hannover,"2014-08-23 15:30:00",-1,-1,-1,-1,-1
4,V,1,17,14,Berlin,"2014-08-23 15:30:00",-1,-1,-1,-1,-1
5,V,1,6,5,Frankfurt,"2014-08-23 15:30:00",-1,-1,-1,-1,-1
6,V,1,18,7,Köln,"2014-08-23 15:30:00",-1,-1,-1,-1,-1
7,V,1,2,3,Dortmund,"2014-08-23 18:30:00",-1,-1,-1,-1,-1
8,V,1,10,13,Paderborn,"2014-08-24 15:30:00",-1,-1,-1,-1,-1
9,V,1,8,12,Gladbach,"2014-08-24 17:30:00",-1,-1,-1,-1,-1
10,V,2,15,2,Augsburg,"2014-08-29 20:30:00",-1,-1,-1,-1,-1
11,V,2,3,17,Leverkusen,"2014-08-30 15:30:00",-1,-1,-1,-1,-1
12,V,2,11,6,Wolfsburg,"2014-08-30 15:30:00",-1,-1,-1,-1,-1
13,V,2,14,16,Bremen,"2014-08-30 15:30:00",-1,-1,-1,-1,-1
14,V,2,12,18,Stuttgart,"2014-08-30 15:30:00",-1,-1,-1,-1,-1
15,V,2,7,10,Hamburg,"2014-08-30 15:30:00",-1,-1,-1,-1,-1
16,V,2,4,1,Gelsenkirchen,"2014-08-30 18:30:00",-1,-1,-1,-1,-1
17,V,2,13,9,Mainz,"2014-08-31 15:30:00",-1,-1,-1,-1,-1
18,V,2,5,8,Freiburg,"2014-08-31 17:30:00",-1,-1,-1,-1,-1
19,V,3,3,14,Leverkusen,"2014-09-12 20:30:00",-1,-1,-1,-1,-1
20,V,3,1,12,München,"2014-09-13 15:30:00",-1,-1,-1,-1,-1
21,V,3,2,5,Dortmund,"2014-09-13 15:30:00",-1,-1,-1,-1,-1
22,V,3,16,11,Hoffenheim,"2014-09-13 15:30:00",-1,-1,-1,-1,-1
23,V,3,17,13,Berlin,"2014-09-13 15:30:00",-1,-1,-1,-1,-1
24,V,3,10,18,Paderborn,"2014-09-13 15:30:00",-1,-1,-1,-1,-1
25,V,3,8,4,Gladbach,"2014-09-13 18:30:00",-1,-1,-1,-1,-1
26,V,3,6,15,Frankfurt,"2014-09-14 15:30:00",-1,-1,-1,-1,-1
27,V,3,9,7,Hannover,"2014-09-14 17:30:00",-1,-1,-1,-1,-1
28,V,4,5,17,Freiburg,"2014-09-19 20:30:00",-1,-1,-1,-1,-1
29,V,4,4,6,Gelsenkirchen,"2014-09-20 15:30:00",-1,-1,-1,-1,-1
30,V,4,15,14,Augsburg,"2014-09-20 15:30:00",-1,-1,-1,-1,-1
31,V,4,12,16,Stuttgart,"2014-09-20 15:30:00",-1,-1,-1,-1,-1
32,V,4,7,1,Hamburg,"2014-09-20 15:30:00",-1,-1,-1,-1,-1
33,V,4,10,9,Paderborn,"2014-09-20 15:30:00",-1,-1,-1,-1,-1
34,V,4,11,3,Wolfsburg,"2014-09-21 15:30:00",-1,-1,-1,-1,-1
35,V,4,13,2,Mainz,"2014-09-20 18:30:00",-1,-1,-1,-1,-1
36,V,4,18,8,Köln,"2014-09-21 17:30:00",-1,-1,-1,-1,-1
37,V,5,1,10,München,"2014-09-23 20:00:00",-1,-1,-1,-1,-1
38,V,5,2,12,Dortmund,"2014-09-24 20:00:00",-1,-1,-1,-1,-1
39,V,5,3,15,Leverkusen,"2014-09-24 20:00:00",-1,-1,-1,-1,-1
40,V,5,8,7,Gladbach,"2014-09-24 20:00:00",-1,-1,-1,-1,-1
41,V,5,16,5,Hoffenheim,"2014-09-23 20:00:00",-1,-1,-1,-1,-1
42,V,5,9,18,Hannover,"2014-09-24 20:00:00",-1,-1,-1,-1,-1
43,V,5,17,11,Berlin,"2014-09-24 20:00:00",-1,-1,-1,-1,-1
44,V,5,14,4,Bremen,"2014-09-23 20:00:00",-1,-1,-1,-1,-1
45,V,5,6,13,Frankfurt,"2014-09-23 20:00:00",-1,-1,-1,-1,-1
46,V,6,4,2,Gelsenkirchen,"2014-09-27 15:30:00",-1,-1,-1,-1,-1
47,V,6,11,14,Wolfsburg,"2014-09-27 18:30:00",-1,-1,-1,-1,-1
48,V,6,13,16,Mainz,"2014-09-26 20:30:00",-1,-1,-1,-1,-1
49,V,6,15,17,Augsburg,"2014-09-28 15:30:00",-1,-1,-1,-1,-1
50,V,6,5,3,Freiburg,"2014-09-27 15:30:00",-1,-1,-1,-1,-1
51,V,6,12,9,Stuttgart,"2014-09-27 15:30:00",-1,-1,-1,-1,-1
